dt,pressure,wind_speed,wind_gust,temp,humidity
2025-11-21 00:00:00,1011,4.04,4.04,25.83,88
2025-11-21 01:00:00,1011,4.17,4.17,25.65,89
2025-11-21 02:00:00,1010,4.46,4.46,25.52,90
2025-11-21 03:00:00,1010,4.52,4.52,25.4,91
2025-11-21 04:00:00,1009,4.38,4.38,25.39,91
2025-11-21 05:00:00,1009,3.03,3.03,25.6,90
2025-11-21 06:00:00,1010,3.35,3.35,25.5,91
2025-11-21 07:00:00,1011,3.67,3.67,25.51,92
2025-11-21 08:00:00,1011,3.67,3.67,25.63,91
2025-11-21 09:00:00,1012,3.83,3.83,25.85,90
2025-11-21 10:00:00,1013,4.88,4.88,25.8,92
2025-11-21 11:00:00,1012,5.73,5.73,25.75,92
2025-11-21 12:00:00,1012,6.28,6.28,25.68,91
2025-11-21 13:00:00,1010,6.79,6.79,25.95,89
2025-11-21 14:00:00,1010,7.45,7.45,25.77,90
2025-11-21 15:00:00,1009,8.02,8.02,25.87,89
2025-11-21 16:00:00,1009,8.22,8.22,25.94,89
2025-11-21 17:00:00,1009,7.71,7.71,25.9,91
2025-11-21 18:00:00,1009,7.21,7.21,26.29,88
2025-11-21 19:00:00,1011,6.36,6.36,26.7,85
2025-11-21 20:00:00,1011,5.95,5.95,26.96,84
2025-11-21 21:00:00,1012,5.84,5.84,26.88,85
2025-11-21 22:00:00,1012,5.78,5.78,26.58,86
2025-11-21 23:00:00,1012,5.49,5.49,26.13,89
2025-11-22 00:00:00,1011,5.01,5.01,25.87,90
2025-11-22 01:00:00,1011,4.43,4.43,25.51,92
2025-11-22 02:00:00,1010,4.13,4.13,25.54,91
2025-11-22 03:00:00,1009,4.13,4.13,25.52,90
2025-11-22 04:00:00,1009,4.32,4.32,25.74,90
2025-11-22 05:00:00,1009,4.24,4.24,25.65,92
2025-11-22 06:00:00,1009,5.08,5.08,25.63,91
2025-11-22 07:00:00,1010,4.86,4.86,25.93,90
2025-11-22 08:00:00,1011,5.82,5.82,25.91,90
2025-11-22 09:00:00,1011,7.2,7.2,25.71,92
2025-11-22 10:00:00,1011,8.97,8.97,26.18,89
2025-11-22 11:00:00,1011,9.33,9.33,25.87,90
2025-11-22 12:00:00,1010,8.54,8.54,25.88,90
2025-11-22 13:00:00,1010,7.91,7.91,26.09,89
2025-11-22 14:00:00,1009,7.43,7.43,26.03,89
2025-11-22 15:00:00,1009,7.46,7.46,25.74,90
2025-11-22 16:00:00,1008,7.98,7.98,25.8,88
2025-11-22 17:00:00,1008,7.27,7.27,25.62,91
2025-11-22 18:00:00,1009,7.48,7.48,25.71,91
2025-11-22 19:00:00,1010,7.43,7.43,25.72,91
2025-11-22 20:00:00,1010,7.14,7.14,25.65,91
2025-11-22 21:00:00,1011,7.28,7.28,25.62,91
2025-11-22 22:00:00,1011,7.68,7.68,25.6,91
2025-11-22 23:00:00,1011,7.85,7.85,25.49,91
2025-11-23 00:00:00,1011,8.19,8.19,25.82,88
2025-11-23 01:00:00,1010,8.84,8.84,25.65,90
2025-11-23 02:00:00,1010,9.06,9.06,25.76,88
2025-11-23 03:00:00,1009,9.1,9.1,25.6,90
2025-11-23 04:00:00,1009,8.71,8.71,25.59,90
2025-11-23 05:00:00,1009,8.08,8.08,25.85,91
2025-11-23 06:00:00,1009,8.07,8.07,25.81,91
2025-11-23 07:00:00,1010,8.79,8.79,25.84,90
2025-11-23 08:00:00,1010,9.81,9.81,26.16,88
2025-11-23 09:00:00,1011,10.84,10.84,26.32,88
2025-11-23 10:00:00,1011,10.8,10.8,26.44,86
2025-11-23 11:00:00,1011,10.27,10.27,26.1,87
2025-11-23 12:00:00,1011,9.37,9.37,26.72,85
2025-11-23 13:00:00,1011,8.74,8.74,26.5,86
2025-11-23 14:00:00,1010,8.5,8.5,25.9,90
2025-11-23 15:00:00,1009,7.99,7.99,25.75,91
2025-11-23 16:00:00,1009,7.68,7.68,25.59,92
2025-11-23 17:00:00,1010,8.7,8.7,26.03,89
2025-11-23 18:00:00,1009,8.82,8.82,26.04,88
2025-11-23 19:00:00,1010,8.83,8.83,26.04,89
2025-11-23 20:00:00,1010,8.37,8.37,26.02,90
2025-11-23 21:00:00,1011,8.32,8.32,26.09,89
2025-11-23 22:00:00,1011,8.64,8.64,26.01,91
2025-11-23 23:00:00,1011,8.81,8.81,26.0,91
2025-11-24 00:00:00,1010,8.94,8.94,26.04,90
2025-11-24 01:00:00,1010,9.25,9.25,25.89,91
2025-11-24 02:00:00,1009,9.34,9.34,25.82,91
2025-11-24 03:00:00,1009,9.48,9.48,25.78,91
2025-11-24 04:00:00,1008,9.58,9.58,26.01,89
2025-11-24 05:00:00,1008,6.79,6.79,26.36,88
2025-11-24 06:00:00,1009,6.17,6.17,26.23,89
2025-11-24 07:00:00,1010,6.0,6.0,26.2,89
2025-11-24 08:00:00,1010,6.2,6.2,26.34,86
2025-11-24 09:00:00,1011,6.18,6.18,26.21,88
2025-11-24 10:00:00,1011,6.76,6.76,26.19,89
2025-11-24 11:00:00,1011,7.4,7.4,25.98,90
2025-11-24 12:00:00,1010,7.63,7.63,26.1,88
2025-11-24 13:00:00,1009,7.79,7.79,26.14,88
2025-11-24 14:00:00,1008,7.55,7.55,25.94,90
2025-11-24 15:00:00,1008,7.64,7.64,26.05,90
2025-11-24 16:00:00,1007,7.05,7.05,26.45,87
2025-11-24 17:00:00,1008,8.25,8.25,26.37,87
2025-11-24 18:00:00,1009,8.42,8.42,26.53,86
2025-11-24 19:00:00,1009,8.22,8.22,26.43,87
2025-11-24 20:00:00,1010,8.03,8.03,26.26,89
2025-11-24 21:00:00,1010,8.71,8.71,26.28,89
2025-11-24 22:00:00,1010,9.16,9.16,26.36,88
2025-11-24 23:00:00,1010,9.25,9.25,25.9,91
2025-11-25 00:00:00,1010,8.47,8.47,25.75,92
2025-11-25 01:00:00,1009,8.32,8.32,25.98,90
2025-11-25 02:00:00,1008,8.54,8.54,25.91,89
2025-11-25 03:00:00,1008,8.68,8.68,26.02,89
2025-11-25 04:00:00,1008,8.47,8.47,25.96,90
2025-11-25 05:00:00,1008,7.26,7.26,26.13,89
2025-11-25 06:00:00,1008,7.1,7.1,26.26,87
2025-11-25 07:00:00,1008,6.74,6.74,25.96,89
2025-11-25 08:00:00,1009,6.42,6.42,25.76,91
2025-11-25 09:00:00,1009,6.93,6.93,25.83,90
2025-11-25 10:00:00,1009,7.27,7.27,25.99,89
2025-11-25 11:00:00,1009,7.76,7.76,25.97,91
2025-11-25 12:00:00,1008,8.9,8.9,26.0,92
2025-11-25 13:00:00,1007,9.28,9.28,25.84,93
2025-11-25 14:00:00,1006,9.3,9.3,25.75,93
2025-11-25 15:00:00,1006,9.36,9.36,25.98,92
2025-11-25 16:00:00,1006,9.66,9.66,26.1,91
2025-11-25 17:00:00,1006,6.88,6.88,26.37,89
2025-11-25 18:00:00,1007,7.38,7.38,26.12,91
2025-11-25 19:00:00,1007,8.31,8.31,26.04,91
2025-11-25 20:00:00,1008,8.99,8.99,26.21,90
2025-11-25 21:00:00,1008,9.61,9.61,26.45,88
2025-11-25 22:00:00,1008,10.43,10.43,26.27,90
2025-11-25 23:00:00,1008,11.36,11.36,26.33,89
2025-11-26 00:00:00,1007,11.79,11.79,26.29,89
2025-11-26 01:00:00,1007,12.15,12.15,26.23,90
2025-11-26 02:00:00,1006,12.26,12.26,26.49,89
2025-11-26 03:00:00,1005,12.23,12.23,26.09,90
2025-11-26 04:00:00,1005,12.0,12.0,26.0,90
2025-11-26 05:00:00,1005,14.01,14.01,26.45,88
2025-11-26 06:00:00,1006,14.57,14.57,26.89,87
2025-11-26 07:00:00,1007,15.22,15.22,26.65,89
2025-11-26 08:00:00,1008,13.66,13.66,26.29,90
2025-11-26 09:00:00,1009,12.65,12.65,26.21,92
2025-11-26 10:00:00,1009,12.44,12.44,26.22,91
2025-11-26 11:00:00,1009,12.24,12.24,26.27,91
2025-11-26 12:00:00,1008,10.69,10.69,26.59,89
2025-11-26 13:00:00,1008,9.33,9.33,26.48,91
2025-11-26 14:00:00,1007,8.5,8.5,26.66,89
2025-11-26 15:00:00,1007,7.73,7.73,26.27,91
2025-11-26 16:00:00,1007,7.07,7.07,26.24,90
2025-11-26 17:00:00,1007,6.92,6.92,26.11,90
2025-11-26 18:00:00,1008,6.89,6.89,26.19,89
2025-11-26 19:00:00,1009,8.22,8.22,26.01,91
2025-11-26 20:00:00,1009,9.37,9.37,26.06,91
2025-11-26 21:00:00,1010,10.28,10.28,26.09,91
2025-11-26 22:00:00,1011,10.07,10.07,26.1,91
2025-11-26 23:00:00,1010,9.24,9.24,26.02,91
2025-11-27 00:00:00,1010,8.93,8.93,26.34,86
2025-11-27 01:00:00,1010,9.36,9.36,26.64,84
2025-11-27 02:00:00,1009,9.31,9.31,26.66,85
2025-11-27 03:00:00,1009,9.3,9.3,26.4,87
2025-11-27 04:00:00,1009,9.39,9.39,26.06,90
2025-11-27 05:00:00,1009,9.03,9.03,26.15,91
2025-11-27 06:00:00,1009,9.03,9.03,26.13,91
2025-11-27 07:00:00,1010,8.75,8.75,26.09,91
2025-11-27 08:00:00,1011,8.79,8.79,26.39,88
2025-11-27 09:00:00,1012,8.69,8.69,26.0,91
2025-11-27 10:00:00,1012,8.52,8.52,26.2,88
2025-11-27 11:00:00,1012,8.33,8.33,26.18,88
2025-11-27 12:00:00,1011,7.78,7.78,25.91,89
2025-11-27 13:00:00,1010,7.17,7.17,25.87,89
2025-11-27 14:00:00,1010,6.97,6.97,25.77,89
2025-11-27 15:00:00,1009,6.65,6.65,25.78,87
2025-11-27 16:00:00,1009,6.17,6.17,25.81,87
2025-11-27 17:00:00,1009,6.22,6.22,26.54,82
2025-11-27 18:00:00,1010,5.68,5.68,26.49,82
2025-11-27 19:00:00,1011,5.13,5.13,26.43,82
2025-11-27 20:00:00,1011,4.42,4.42,26.37,81
2025-11-27 21:00:00,1012,3.73,3.73,26.35,81
2025-11-27 22:00:00,1012,3.04,3.04,26.28,80
2025-11-27 23:00:00,1012,2.87,2.87,26.22,80
